Title;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114 qdoR PqdoI gfp;Time after induction (h);0;0,17;0,33;0,5;0,67;0,83;1;1,17;1,33;1,5;1,67;1,83;2;2,17;2,33;2,5;2,67;2,83;3;3,17;3,33;3,5;3,67;3,83;4;4,17;4,33;4,5;4,67;4,83;5;5,17;5,33;5,5;5,67;5,83;6;6,17;6,33;6,5;6,67;6,83;7;7,17;7,33;7,5;7,67;7,83;8;8,17;8,33;8,5;8,67;8,83;9;9,17;9,33;9,5;9,67;9,83;10;10,17;10,33;10,5;10,67;10,83;11;11,17;11,33;11,5;11,67;11,83;12;12,17;12,33;12,5;12,67;12,83;13;13,17;13,33;13,5;13,67;13,83;14;14,17;14,33;14,5;14,67;14,83;15
0 mM quercetin;Average;744,5647;1371,5;1210,497;1124,025;1028,741;965,8007;946,3357;917,6807;965,3222;1029,505;1124,074;1194,775;1237,962;1298,545;1342,215;1411,18;1427,273;1469,025;1511,245;1530,063;1567,345;1612,574;1655,894;1688,296;1729,359;1759,299;1789,071;1809,88;1828,392;1853,225;1865,313;1878,736;1897,731;1917,485;1934,135;1946,219;1951,346;1968,888;1992,096;1986,666;1998,013;2026,198;2042,95;2058,633;2079,436;2099,527;2123,286;2135,352;2152,583;2143,626;2138,303;2154,282;2158,11;2151,151;2167,926;2168,644;2181,214;2181,408;2198,813;2206,412;2231,74;2222,734;2233,425;2252,041;2251,988;2275,511;2286,617;2292,207;2304,114;2322,383;2325,383;2332,737;2338,333;2344,787;2367,982;2364,544;2372,405;2385,148;2405,528;2408,549;2421,502;2439,077;2440,437;2462,727;2492,44;2502,379;2514,745;2532,674;2555,826;2566,106;2579,349
;SD;436,452;38,47281;48,76537;25,07264;58,87029;36,80647;40,29156;64,06952;88,42792;77,6695;71,99639;75,36811;72,30976;63,64774;68,2536;53,44796;40,65149;42,72245;33,95874;37,93566;37,62826;50,0739;41,68371;42,74856;26,82135;14,31653;13,14806;8,956187;15,06598;30,24432;31,27107;36,66899;56,65907;58,09919;56,55258;74,03161;79,94839;74,53235;84,38986;84,31746;79,49704;85,88531;91,58108;81,74648;88,21917;98,11952;106,1485;88,51581;95,53067;99,49056;98,60633;100,949;89,29743;96,91613;102,4764;91,92267;88,62227;83,69238;72,47944;71,15295;73,73809;75,06406;67,60626;61,66389;56,71945;56,12315;53,23224;53,1705;53,07944;49,92094;49,18604;46,72481;55,34292;46,39637;50,86706;44,93102;47,46673;46,95828;42,16832;53,18756;40,3464;43,47281;51,92606;33,69831;25,35145;48,77782;52,38773;42,90086;44,87384;52,70958;46,26278
0.1 mM quercetin;Average;1506,893;1194,298;1122,656;1468,3;2025,829;2641,473;3181,205;3687,939;4219,115;4734,38;5170,719;5570,302;5910,346;6163,041;6343,139;6552,34;6744,359;6812,914;6924,246;7042,161;7097,785;7132,404;7142,132;7177,38;7214,726;7334,787;7407,219;7428,383;7561,779;7585,789;7561,94;7626,291;7622,315;7572,951;7521,216;7502,856;7471,177;7443,049;7421,98;7382,93;7383,265;7349,007;7317,145;7313,755;7328,722;7275,729;7288,914;7250,457;7207,451;7208,127;7106,355;7062,631;7066,147;7029,453;7011,322;6989,201;6961,06;6986,456;6927,241;6892,197;6886,004;6845,025;6861,507;6864,95;6829,142;6840,877;6814,99;6792,679;6811,703;6793,364;6763,813;6752,463;6735,768;6750,955;6802,977;6765,3;6738,177;6733,892;6792,66;6795,928;6805,929;6818,922;6806,22;6800,776;6826,931;6804,487;6777,337;6834,673;6833,052;6817,929;6798,817
;SD;188,907;113,1818;56,17368;8,168164;76,55687;134,2107;137,7652;202,8295;233,7402;242,7177;235,5724;228,2407;276,7987;233,1912;193,7875;196,9699;251,4858;197,6255;254,0714;215,0607;215,6547;189,9012;206,5282;214,9176;197,2992;184,3259;183,0843;160,4874;151,684;122,448;140,1307;140,5569;89,90127;113,2002;130,8159;161,3836;169,8605;117,7589;148,8391;155,2835;190,8646;159,6232;177,7617;169,6192;113,6779;158,4864;164,7592;159,6522;151,891;192,819;174,7442;184,2934;177,3145;161,5888;187,0493;173,1367;167,275;183,5313;158,8749;167,6611;147,2737;151,4607;164,7977;170,5154;151,7138;167,4091;169,9924;183,7929;175,0845;188,3436;180,0634;239,4955;220,4529;217,8019;258,0446;293,6594;311,449;341,4496;383,2688;448,1852;494,4762;562,6413;583,7094;629,4916;646,8771;687,6877;726,3194;731,6425;781,0557;772,2339;821,6706
115 qdoR PqdoI gfp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0 mM quercetin;Average;213,8229;715,6926;457,3594;368,4017;309,2895;266,4168;261,6729;244,051;237,9358;241,3309;256,5938;242,9573;265,2616;267,9889;272,8759;265,8653;267,5842;251,886;256,8529;252,4438;272,557;253,4802;252,0438;248,192;252,0538;249,8466;259,3188;273,2714;264,8038;272,3072;278,0944;283,2292;290,7401;287,4459;295,1629;298,6247;300,0975;301,4947;307,5321;313,6225;315,0593;318,5239;311,3201;315,9884;311,4653;319,1124;322,002;333,8726;342,747;336,081;341,1657;353,2239;350,8248;360,375;358,8396;356,8405;367,293;361,3032;363,3648;368,5245;368,485;373,0348;373,1175;387,4798;382,0962;389,334;399,4188;400,7222;400,0861;402,9373;416,4447;414,997;421,7517;426,0584;438,8911;438,4807;448,3908;452,8706;462,0924;465,5448;474,1308;474,7141;486,2794;485,2174;497,649;508,0544;506,7076;525,5346;515,7582;524,9983;521,78
;SD;392,0825;32,52931;41,81482;32,11769;31,68006;29,57161;39,19326;34,15325;30,15531;44,84642;35,0003;21,57103;33,51221;11,5378;32,36421;29,00814;20,39267;17,94713;23,89285;25,37086;22,41751;12,34022;20,5216;20,45245;19,52461;31,84735;6,849246;15,53619;23,09569;19,77302;18,42284;21,30418;22,05973;22,46083;21,68592;21,59795;30,80067;22,62516;25,82596;14,56644;15,77984;21,36896;26,15069;27,23744;24,36884;25,9075;28,81786;28,10323;21,75559;20,20613;24,29172;24,00319;19,48925;13,63013;24,24665;24,79515;30,35172;31,58733;34,59564;22,73102;24,46545;25,86087;26,48599;32,59802;35,13087;22,07105;16,58139;29,94562;37,56004;36,39386;34,29719;23,81326;45,20639;38,82053;37,90591;42,57163;31,44843;38,302;38,00227;43,75695;41,75291;44,16092;39,64091;45,97471;36,35515;40,79107;40,02148;50,56633;40,24016;47,59935;44,57848
0.1 mM quercetin;Average;671,4881;673,3963;512,6224;770,421;1120,915;1482,639;1841,911;2195,88;2527,266;2863,31;3134,108;3368,454;3597,543;3780,374;4014,58;4254,555;4472,71;4733,376;4907,292;4993,235;5026,186;5055,641;5023,417;5010,946;4989,418;4939,752;4905,277;4884,985;4876,398;4835,912;4820,851;4800,044;4772,971;4765,448;4749,503;4736,968;4715,486;4713,843;4650,949;4648,561;4631,549;4597,131;4564,469;4559,799;4529,923;4516,423;4481,099;4472,652;4415,438;4444,083;4407,947;4400,83;4377,518;4379,375;4357,173;4367,662;4351,982;4357,686;4358,446;4342,306;4365,043;4366,048;4345,393;4355,555;4338,506;4343,159;4349,021;4369,161;4352,687;4339,773;4360,356;4355,551;4346,713;4372,448;4355,27;4396,176;4401,969;4400,862;4437,67;4460,714;4451,318;4472,395;4514,289;4544,503;4557,703;4595,072;4596,266;4620,071;4649,626;4636,538;4662,861
;SD;172,4632;55,03473;63,43493;64,02593;66,40677;85,31512;81,3227;65,88327;61,53274;61,62732;93,62733;68,61231;63,18135;78,53307;65,57633;98,14474;117,7779;110,7605;110,8248;116,4931;77,7862;70,04457;80,81041;89,55056;60,3056;86,90252;86,53703;85,16555;80,05454;73,12539;61,20733;52,64058;45,73645;66,42232;44,45208;39,28574;37,84162;35,02752;61,14014;41,88663;53,08809;63,20572;47,4604;53,33713;39,98643;46,45594;50,81865;60,2382;57,88247;66,33929;24,14908;24,23216;28,27996;17,91852;24,03489;8,646708;24,12969;0,761288;35,28256;37,03196;63,40383;53,66697;55,07174;68,14992;49,69007;66,70531;47,06026;70,4768;76,07273;63,57037;87,86501;74,80261;94,08534;87,97677;77,88746;79,58549;97,44489;99,49962;86,68935;98,16916;105,265;114,1683;98,49042;106,2461;104,6467;101,8803;131,6747;126,0487;111,254;127,4286;129,9802
